date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:36	203232/203232	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:36%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:38%20GMT	http://cuocsongmuonmau.my.canva.site/fonts/4e279f8d41b13fbd15324354038380cd.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/4e279f8d41b13fbd15324354038380cd.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:37	40272/40272	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:38%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/5be759eb40695885179b7bf24f6fa8a1.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/5be759eb40695885179b7bf24f6fa8a1.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:39%20GMT	http://cuocsongmuonmau.my.canva.site/fonts/dfbdce5f4fa70393a9e63dca4e5fe80f.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/dfbdce5f4fa70393a9e63dca4e5fe80f.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:39	46588/46588	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:39%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/4e279f8d41b13fbd15324354038380cd.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/4e279f8d41b13fbd15324354038380cd.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:41%20GMT	http://cuocsongmuonmau.my.canva.site/fonts/af1832b8ffa0c876227efaa01d2525e6.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/af1832b8ffa0c876227efaa01d2525e6.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:40	47168/47168	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:41%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/dfbdce5f4fa70393a9e63dca4e5fe80f.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/dfbdce5f4fa70393a9e63dca4e5fe80f.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:42	42692/42692	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:43%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/af1832b8ffa0c876227efaa01d2525e6.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/af1832b8ffa0c876227efaa01d2525e6.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:43%20GMT	http://cuocsongmuonmau.my.canva.site/fonts/3ab74af9da2b53fee33f625453c42c71.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/3ab74af9da2b53fee33f625453c42c71.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:44%20GMT	http://cuocsongmuonmau.my.canva.site/images/38f5d3528a4a7c8c259576f78c0b2910.jpg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/38f5d3528a4a7c8c259576f78c0b2910.jpg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:43	46804/46804	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Jul%202024%2011:11:44%20GMT	https://cuocsongmuonmau.my.canva.site/fonts/3ab74af9da2b53fee33f625453c42c71.woff2	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/fonts/3ab74af9da2b53fee33f625453c42c71.woff2	(from https://cuocsongmuonmau.my.canva.site/)
18:11:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:45%20GMT	http://cuocsongmuonmau.my.canva.site/videos/4695d692a31268989999eccc467f604a.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/4695d692a31268989999eccc467f604a.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:44	457939/457939	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jul%202024%2011:11:45%20GMT	https://cuocsongmuonmau.my.canva.site/images/38f5d3528a4a7c8c259576f78c0b2910.jpg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/38f5d3528a4a7c8c259576f78c0b2910.jpg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:47%20GMT	http://cuocsongmuonmau.my.canva.site/'data:image/png;base64,'	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/'data_image/png;base64,'	(from https://cuocsongmuonmau.my.canva.site/)
18:11:46	392527/392527	---M--	200	added ('OK')	image/gif	date:Sat,%2027%20Jul%202024%2011:11:47%20GMT	https://cuocsongmuonmau.my.canva.site/videos/4695d692a31268989999eccc467f604a.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/4695d692a31268989999eccc467f604a.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:46	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Jul%202024%2011:11:48%20GMT	https://cuocsongmuonmau.my.canva.site/'data:image/png;base64,'	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/'data_image/png;base64,'	(from https://cuocsongmuonmau.my.canva.site/)
18:11:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:48%20GMT	http://cuocsongmuonmau.my.canva.site/images/e0389e7ed3f4003b8883f8f74afdd9d5.jpg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/e0389e7ed3f4003b8883f8f74afdd9d5.jpg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:49%20GMT	http://cuocsongmuonmau.my.canva.site/images/a38b378cc319bf8923a49f441ac97d6c.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/a38b378cc319bf8923a49f441ac97d6c.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:48	114251/114251	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jul%202024%2011:11:49%20GMT	https://cuocsongmuonmau.my.canva.site/images/e0389e7ed3f4003b8883f8f74afdd9d5.jpg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/e0389e7ed3f4003b8883f8f74afdd9d5.jpg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:51%20GMT	http://cuocsongmuonmau.my.canva.site/images/192210ad7151ebb930b2f77b02d4ca00.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/192210ad7151ebb930b2f77b02d4ca00.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:50	10970/10970	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:51%20GMT	https://cuocsongmuonmau.my.canva.site/images/a38b378cc319bf8923a49f441ac97d6c.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/a38b378cc319bf8923a49f441ac97d6c.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:52%20GMT	http://cuocsongmuonmau.my.canva.site/images/7dad96c40ec386885be78d24662c5958.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/7dad96c40ec386885be78d24662c5958.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:50	796/796	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:52%20GMT	https://cuocsongmuonmau.my.canva.site/images/192210ad7151ebb930b2f77b02d4ca00.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/192210ad7151ebb930b2f77b02d4ca00.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:53%20GMT	http://cuocsongmuonmau.my.canva.site/videos/c9e5da10eeaf8d1b2be7d81359d6e3dc.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/c9e5da10eeaf8d1b2be7d81359d6e3dc.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:51	1192/1192	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:53%20GMT	https://cuocsongmuonmau.my.canva.site/images/7dad96c40ec386885be78d24662c5958.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/7dad96c40ec386885be78d24662c5958.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:54%20GMT	http://cuocsongmuonmau.my.canva.site/videos/90a3852e3251dc56f96c6dcbebdf8e7b.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/90a3852e3251dc56f96c6dcbebdf8e7b.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:53	2979535/2979535	---M--	200	added ('OK')	image/gif	date:Sat,%2027%20Jul%202024%2011:11:54%20GMT	https://cuocsongmuonmau.my.canva.site/videos/c9e5da10eeaf8d1b2be7d81359d6e3dc.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/c9e5da10eeaf8d1b2be7d81359d6e3dc.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:55%20GMT	http://cuocsongmuonmau.my.canva.site/images/871b8ae1f83574869bb69cf5927d2acb.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/871b8ae1f83574869bb69cf5927d2acb.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:54	180286/180286	---M--	200	added ('OK')	image/gif	date:Sat,%2027%20Jul%202024%2011:11:55%20GMT	https://cuocsongmuonmau.my.canva.site/videos/90a3852e3251dc56f96c6dcbebdf8e7b.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/90a3852e3251dc56f96c6dcbebdf8e7b.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:57%20GMT	http://cuocsongmuonmau.my.canva.site/images/520a2e81392a3937ddd7c41606a65acc.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/520a2e81392a3937ddd7c41606a65acc.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:56	548/548	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:57%20GMT	https://cuocsongmuonmau.my.canva.site/images/871b8ae1f83574869bb69cf5927d2acb.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/871b8ae1f83574869bb69cf5927d2acb.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:58%20GMT	http://cuocsongmuonmau.my.canva.site/images/c9e74d8210825230177e3cebee22391c.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/c9e74d8210825230177e3cebee22391c.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:56	1009/1009	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:58%20GMT	https://cuocsongmuonmau.my.canva.site/images/520a2e81392a3937ddd7c41606a65acc.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/520a2e81392a3937ddd7c41606a65acc.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:11:59%20GMT	http://cuocsongmuonmau.my.canva.site/videos/792b6da1a9a4353e1b4a5fe61d4794f9.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/792b6da1a9a4353e1b4a5fe61d4794f9.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:57	2827/2827	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2011:11:59%20GMT	https://cuocsongmuonmau.my.canva.site/images/c9e74d8210825230177e3cebee22391c.svg	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/images/c9e74d8210825230177e3cebee22391c.svg	(from https://cuocsongmuonmau.my.canva.site/)
18:11:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2011:12:00%20GMT	http://cuocsongmuonmau.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://cuocsongmuonmau.my.canva.site/)
18:11:58	3417368/3417368	---M--	200	added ('OK')	image/gif	date:Sat,%2027%20Jul%202024%2011:12:00%20GMT	https://cuocsongmuonmau.my.canva.site/videos/792b6da1a9a4353e1b4a5fe61d4794f9.gif	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/videos/792b6da1a9a4353e1b4a5fe61d4794f9.gif	(from https://cuocsongmuonmau.my.canva.site/)
18:11:58	221/221	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jul%202024%2011:12:00%20GMT	https://cuocsongmuonmau.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	D:/CODE%20WEB/ABC/WEB%201/cuocsongmuonmau.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://cuocsongmuonmau.my.canva.site/)
